R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.363636364,3.075066,1.001832044,6.12846177,0.238205,0.63103,0.274039817,40,200000
0.363636364,2.794825319,1.793983051,5.794980911,0.25364,0.63697,0.284793568,40,200000
0.363636364,2.780210793,3.964741705,5.230766558,0.246685,0.63058,0.281197814,40,200000
0.363636364,1.760993562,3.158859094,1.098488205,0.23399,0.638455,0.268200288,40,200000
0.363636364,2.517008058,3.077914075,0.146458772,0.257455,0.638375,0.287392697,40,200000
0.363636364,2.053812681,5.905655511,0.250915977,0.279245,0.6048,0.31587193,40,200000
0.363636364,4.765324853,0.667888473,4.710953074,0.235505,0.6275,0.272889497,40,200000
0.363636364,5.286652349,0.906572622,0.717057676,0.2274,0.647095,0.260035792,40,200000
0.363636364,2.444697392,6.093904534,4.561780637,0.26356,0.62249,0.297454997,40,200000
0.363636364,2.559537082,6.127765649,4.909179114,0.250785,0.63399,0.283444944,40,200000
0.363636364,0.604514662,3.520373868,4.735990519,0.24774,0.61892,0.285856045,40,200000
0.363636364,2.215845337,2.703766233,5.18984231,0.23983,0.640245,0.272510866,40,200000
0.363636364,5.216315206,3.752713943,4.40776331,0.216835,0.665155,0.245847459,40,200000
0.363636364,0.803531605,3.444894173,6.275356402,0.278425,0.597565,0.317840386,40,200000
0.363636364,4.94113876,4.456703291,3.446891433,0.25269,0.630285,0.286180243,40,200000
0.363636364,2.539518982,0.461045587,0.0534169,0.25606,0.63214,0.288290925,40,200000
0.363636364,2.848094781,5.486974727,3.619804694,0.24394,0.64285,0.275082037,40,200000
0.363636364,0.295370266,1.133649646,3.499584221,0.23518,0.64466,0.2672986,40,200000
0.363636364,3.654180527,5.081194458,2.104293963,0.216925,0.65041,0.250105207,40,200000
0.363636364,4.311232243,1.154717653,4.881649423,0.24784,0.632295,0.281593165,40,200000
0.363636364,0.690899251,4.847488606,0.082714867,0.25083,0.60366,0.293543517,40,200000
0.363636364,6.191359731,2.150394861,2.868162097,0.228465,0.64347,0.262020678,40,200000
0.363636364,2.720461425,2.230722427,1.675126611,0.224585,0.65972,0.253967805,40,200000
0.363636364,6.270306874,3.156812059,5.216422896,0.25855,0.63095,0.290668915,40,200000
0.363636364,6.137373017,4.403089277,5.444387454,0.23093,0.655095,0.260635987,40,200000
0.363636364,4.448478169,2.176241864,4.068154616,0.224,0.62904,0.262590265,40,200000
0.363636364,1.797294403,0.30775904,2.799052615,0.2347,0.65504,0.263784926,40,200000
0.363636364,2.179780719,0.642009273,4.431776898,0.250765,0.608965,0.291678783,40,200000
0.363636364,3.256408653,3.698069474,1.838096664,0.255445,0.63252,0.287674627,40,200000
0.363636364,1.896128269,3.920248849,1.934408759,0.24506,0.617905,0.283974437,40,200000
0.363636364,0.144588455,4.653531058,5.231114965,0.253515,0.62514,0.288526213,40,200000
0.363636364,0.385965642,5.303102341,3.719745078,0.246325,0.6609,0.271514784,40,200000
0.363636364,0.709743049,6.21339075,6.219852816,0.249025,0.60774,0.290657298,40,200000
0.363636364,0.31814628,6.145754363,5.818993776,0.232,0.64586,0.264279042,40,200000
0.363636364,4.440296245,1.198163065,2.601033282,0.264715,0.59219,0.308919892,40,200000
0.363636364,1.402578763,0.796385015,3.203999018,0.262635,0.634695,0.292684965,40,200000
0.363636364,0.210574516,1.100170895,3.707296464,0.257845,0.61444,0.295597196,40,200000
0.363636364,1.195373681,3.205469079,2.522821966,0.23391,0.639755,0.2677342,40,200000
0.363636364,1.988649135,1.556939202,6.139392452,0.217285,0.668945,0.245179017,40,200000
0.363636364,0.690899251,4.847488606,0.082714867,0.25083,0.60366,0.293543517,40,200000
