phi0,phi1,phi2,phi3,phi4,phi5,phi6,P_IFM,P_bomb,eta,N,nsamples
1.9217305919323655,4.1554888991115115,5.054027989466289,2.8993411010542918,0.9132586601937813,1.3759560602305807,3.72673054836166,0.011775,0.650915,0.01776848903710634,20,200000
5.314870149441285,5.195632212484334,5.441150974742143,2.1108607532094563,4.503897244979638,5.458247442548006,2.2186263603656045,0.019715,0.6393,0.029915859274826824,20,200000
4.035161354862411,1.0782947582839277,4.105839452149693,0.34768396478163516,4.238079632624739,1.1233747171473074,5.767724720218947,0.01729,0.644785,0.026114866140542987,20,200000
5.788885540028276,6.23111041351143,4.20673396167709,3.638753885694068,2.3883481263532773,4.779429031151757,6.093717652379039,0.03407,0.227475,0.1302643904490623,20,200000
2.3364992150973687,2.7392780316903735,2.2009477323380295,2.310269888755157,0.15299144476424648,0.005770283905187478,4.641035157513765,0.025475,0.62065,0.039427355387889336,20,200000
3.573792928185784,5.848248494313969,0.3919126932682338,3.2409948461763727,0.5721796386144584,4.992867032511892,0.5019512684006978,0.019885,0.63365,0.030426832533835216,20,200000
4.7215182526672095,3.374286157997194,0.5214941862898466,2.3326200078695205,3.588231985536985,4.858060298857835,3.61594553525709,0.017965,0.62508,0.027937391628890668,20,200000
3.632162733874974,2.6443548397669803,1.3658900631113666,6.17785431731367,2.549734789084197,5.022380366825077,0.5713469018394783,0.014575,0.64406,0.022129100336301593,20,200000
4.991366696347509,1.09101632152875,0.7549118037442045,1.4805927534729486,2.3900320181288346,2.753513392946681,0.42220712427293994,0.017815,0.63835,0.02715018326183201,20,200000
6.083017733245583,3.9914082505078023,3.468757957293237,4.48985808846911,4.5524073280238015,2.7862045803952995,4.827596086958871,0.023815,0.620945,0.03693622433153421,20,200000
3.504193827406266,2.4339312450243105,4.50621464834591,3.402653986871178,1.84704326674137,3.8621104982641135,5.294136774357705,0.015105,0.645205,0.02287561902742651,20,200000
4.643070435189984,2.3118580872995884,5.128666230408468,0.6788079341205269,1.6208416109622743,3.743642699066295,5.5921438196430575,0.019415,0.66763,0.0282587021228595,20,200000
3.454295883384186,5.81245390702235,2.7661163405175504,1.431710426171157,5.340817313477869,5.481066382351116,3.46782030735149,0.019125,0.636545,0.029168636661735324,20,200000
2.0532096939884092,0.8583430964078609,3.0088163571873827,4.0378709289196175,2.3600630256466113,1.7998074570838503,3.39403014952285,0.016745,0.639855,0.025502589095339628,20,200000
2.5510717051668816,5.061915050016771,4.408000527895064,2.8042792704909116,0.8681833733270472,1.9848528757522401,2.2810104292860243,0.014535,0.645865,0.02200938824954573,20,200000
4.61054058619511,4.61849095757519,6.188139919113859,4.745465171253929,4.365692360693963,0.826285788383994,0.13202685276212553,0.026175,0.63351,0.03967802814979877,20,200000
4.954467467365601,1.1354224825804764,3.61063419347219,2.876364843625889,5.2485553189385765,0.3019335733555366,3.4925104390273805,0.021115,0.66211,0.03090489955724688,20,200000
4.254796156283193,5.135057055054275,4.680368351290268,2.221100040851953,4.624457567954055,0.6325146155123725,2.1432779276297675,0.009315,0.66664,0.013780503140001924,20,200000
4.683934036704569,4.178964923345489,5.411488862835799,0.024585302071090238,3.2284881262657215,6.158136922807971,5.3123944733052495,0.03369,0.22618,0.12964174394889752,20,200000
2.9330239785530527,0.5670746275412571,3.9441964802096816,5.914961735482579,2.5607902110767826,1.8680941134745388,1.5135710781512117,0.020295,0.63128,0.031147603882899135,20,200000
6.012795371168365,2.8183163801302857,6.179122570534452,3.221261426677165,0.3615559772144088,2.704000328984182,1.9104581353403085,0.01809,0.634555,0.027717978380283306,20,200000
1.2655705678455056,5.299061812654401,2.8236960694059494,2.451539520523614,0.6549137268298992,1.805138826099863,2.613528624354387,0.01796,0.632275,0.02762078325528463,20,200000
4.379537142348993,5.147662930269811,5.127030915508393,2.384884302439197,3.4515549971355,2.209604144608426,5.492367934176562,0.012425,0.643695,0.018937084679631774,20,200000
0.5022249956675225,2.9438686152175544,5.732035541844144,2.7940901512491747,0.844330449947405,1.793912260360173,0.9700392787017387,0.017325,0.648525,0.026019373732822707,20,200000
4.870546945062808,1.461544158540689,6.084196319849464,2.0825970136425216,2.736422654215429,0.7597026136990116,5.026958887267679,0.02014,0.64523,0.030268872957903124,20,200000
2.8823262880460425,4.668100132446719,2.5595688352748547,2.989868154260582,4.185357543814341,5.138213770597848,0.458633266484312,0.020505,0.62676,0.03167945122940372,20,200000
0.699382669040638,5.2377750528198534,5.977083802358578,3.782914841891544,0.4667683757562834,4.890157321326754,1.4337673498088193,0.021575,0.63836,0.03269261366649746,20,200000
3.069298781859322,1.224122801703266,6.022328896830154,3.064812784559287,3.708831795053293,1.31208722632025,0.7908198195606747,0.01686,0.62969,0.02607686953831877,20,200000
1.7439016126656348,3.0793533132443676,0.600898089837886,2.5008718558530236,6.011764964558906,2.3575100829800486,0.9670131323414136,0.0157,0.62697,0.024429333872749617,20,200000
2.8431931396257615,5.933787380242076,1.1514738614845506,3.3879518736413825,1.696362883126972,0.29087906636508026,4.765798410870201,0.012255,0.661215,0.01819680163927124,20,200000
1.4158085250539671,0.9933100023292211,6.159831366128131,0.7391126423905846,4.378882257749088,0.4280005228205077,3.9902196078791072,0.01548,0.65346,0.023141088886895683,20,200000
2.9209999008693464,5.759172891844168,1.6477417886691321,4.800901585859274,4.0224904132303765,4.183782866750311,1.3377990310714412,0.012835,0.653905,0.019250382457929628,20,200000
4.902465635420163,1.821423347161044,0.937421696101983,5.047080297216156,1.3691610404140044,6.148751181794549,4.332883997626225,0.03418,0.229315,0.12971783145790244,20,200000
0.7546333131685887,4.261664887722487,4.038594397550538,3.7634790408118897,0.43878214942266713,2.655541721169718,3.272566352589177,0.019695,0.63155,0.030242074795199966,20,200000
3.282610988990977,1.3063488202815727,4.93193209685144,4.4756792888973465,1.9571512480703543,4.115895933354892,3.572456555905705,0.016115,0.634995,0.024750042235566958,20,200000
2.1317315413279445,2.6947684631731725,2.3199564855826424,5.359828635072286,3.6087252267677483,2.801104747387824,3.8872146419127542,0.01412,0.644575,0.02143632485444705,20,200000
0.6783567442917543,0.28542866094283764,3.570480191692341,6.074246783470859,5.9011989945932735,2.260534552018432,4.6908332750055495,0.01458,0.6294,0.022640454672505358,20,200000
5.678123776655773,1.6448465650946424,4.797331057254828,5.977555778301572,1.9625600190257162,5.499665763630186,1.0642341276318177,0.01607,0.645785,0.024280242651336017,20,200000
5.2869320537265585,1.7164133525617313,3.230659609733786,5.7246887492328735,0.9618761822962969,5.538118432314204,5.236772072339478,0.01729,0.634695,0.026519015008013985,20,200000
0.6644337816288567,4.88432996473222,3.9719216844754395,2.6921110900540937,5.100563533252861,2.4393854881999104,4.506094311484383,0.02187,0.63971,0.03305722663925753,20,200000
