R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.272727273,4.422150288,1.189438691,2.905455389,0.21554,0.706855,0.233674294,40,200000
0.272727273,1.956991686,1.96117,0.111647935,0.193175,0.73198,0.208802849,40,200000
0.272727273,1.159643561,6.222288543,0.554891614,0.19503,0.74204,0.208127461,40,200000
0.272727273,4.643039613,4.656582485,2.82885264,0.21134,0.72361,0.226044173,40,200000
0.272727273,5.59359157,4.829476249,3.889604532,0.202635,0.728445,0.21763436,40,200000
0.272727273,3.608427958,3.546874684,2.913310185,0.18129,0.74659,0.195380868,40,200000
0.272727273,2.168832264,0.918579779,4.779640484,0.217635,0.72209,0.231594349,40,200000
0.272727273,4.975963309,3.396738171,1.826643521,0.21587,0.712385,0.232554632,40,200000
0.272727273,5.931337759,5.752400806,1.550286974,0.18228,0.73879,0.197900268,40,200000
0.272727273,2.014974235,4.067919827,0.659709376,0.203465,0.721785,0.219902729,40,200000
0.272727273,3.44335649,1.105676018,1.101320827,0.19074,0.744885,0.203863727,40,200000
0.272727273,4.569922504,0.25374109,4.936300735,0.19441,0.73607,0.208935173,40,200000
0.272727273,3.030862775,6.265823306,0.919970843,0.21883,0.708705,0.235926407,40,200000
0.272727273,3.015508983,4.69253863,0.196629097,0.19575,0.72071,0.21359361,40,200000
0.272727273,1.948311679,0.059816416,0.104203589,0.20993,0.72243,0.22515981,40,200000
0.272727273,1.7328421,0.330208223,4.64304328,0.21292,0.70752,0.231324149,40,200000
0.272727273,4.814024223,4.265058324,2.623235061,0.215145,0.719235,0.230254286,40,200000
0.272727273,4.069757969,0.549737826,1.632188856,0.212365,0.71349,0.22937177,40,200000
0.272727273,1.574867755,4.209909994,3.3481267,0.21389,0.72672,0.227394988,40,200000
0.272727273,2.66613828,6.109531813,4.978178646,0.20873,0.70641,0.22808532,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.21,0.71293,0.227536216,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.21822,0.69915,0.237875666,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.211275,0.715135,0.228057771,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.191405,0.74165,0.205137961,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.201725,0.71735,0.219486984,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.192405,0.731565,0.20823728,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.210345,0.71994,0.226108128,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.20785,0.721365,0.223683432,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.22678,0.71595,0.240556681,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.18363,0.748745,0.196948653,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.173385,0.75658,0.186442501,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.212785,0.723985,0.227147539,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.182245,0.7416,0.19726794,40,200000
0.272727273,1.83805831,1.86242648,3.148379952,0.21881,0.70375,0.237176986,40,200000
0.272727273,6.264409494,0.492727299,1.145599238,0.20813,0.72591,0.222827716,40,200000
0.272727273,5.380594794,3.093336158,1.521163223,0.215545,0.710465,0.232767465,40,200000
0.272727273,4.181664471,4.865679292,5.33547891,0.20673,0.728865,0.220960993,40,200000
0.272727273,5.779558294,4.473040968,1.545965913,0.186855,0.75161,0.199107052,40,200000
0.272727273,4.009564721,4.5909051,0.613107574,0.230925,0.701025,0.247786898,40,200000
0.272727273,4.777160708,2.998732103,0.759401628,0.212805,0.717945,0.228638195,40,200000
