R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.99,4.995454705,0.081808191,4.581009852,0.016815,0.015225,0.524812734,40,200000
0.99,3.885753201,1.019588901,4.647720717,0.014005,0.012335,0.531700835,40,200000
0.99,5.917085454,3.915226812,0.147438182,0.02099,0.00847,0.712491514,40,200000
0.99,1.60314334,0.965089514,3.668779443,0.02178,0.01429,0.603825894,40,200000
0.99,5.706828769,1.687561011,2.002743722,0.01734,0.013405,0.563994145,40,200000
0.99,1.057116398,3.083130604,1.689667794,0.01157,0.00762,0.602918187,40,200000
0.99,5.804771418,6.044711939,1.45766186,0.01444,0.01341,0.518491921,40,200000
0.99,0.536029797,0.778872344,6.099059436,0.011895,0.011185,0.515381282,40,200000
0.99,3.505533692,2.614455992,0.320295636,0.00812,0.0144,0.360568384,40,200000
0.99,6.038620843,1.40641064,4.027356699,0.016575,0.01524,0.520980669,40,200000
0.99,0.993947757,0.561074581,1.437481413,0.007885,0.01944,0.288563586,40,200000
0.99,4.960789709,5.327905374,3.178487005,0.01572,0.009845,0.614903188,40,200000
0.99,4.483199517,0.826612136,2.209742194,0.0233,0.00609,0.792786662,40,200000
0.99,4.201900637,4.506373366,1.9230578,0.030835,0.02745,0.529038346,40,200000
0.99,3.878499004,5.471812062,4.473306333,0.022795,0.004605,0.831934307,40,200000
0.99,0.533933266,3.971217157,5.306344617,0.02063,0.008725,0.702776358,40,200000
0.99,2.757796857,2.007049986,2.815470764,0.01036,0.014955,0.409243532,40,200000
0.99,3.556942497,6.231326188,0.099605948,0.007855,0.011155,0.413203577,40,200000
0.99,3.031783834,4.491427417,1.507428429,0.014755,0.01693,0.465677766,40,200000
0.99,0.454422799,3.894816631,4.608927247,0.00586,0.01404,0.294472362,40,200000
0.99,1.448105023,3.241781651,5.579274275,0.016965,0.0109,0.608828279,40,200000
0.99,4.78392401,5.301098051,4.530063903,0.014945,0.00964,0.60789099,40,200000
0.99,2.238125614,0.540294964,3.438333604,0.0122,0.009955,0.550665764,40,200000
0.99,3.361667252,1.428461414,3.605530521,0.03041,0.027225,0.52763078,40,200000
0.99,2.886014124,1.976353115,0.955017621,0.016985,0.01328,0.561209318,40,200000
0.99,3.641936098,0.712329659,3.176594299,0.008365,0.00732,0.533312082,40,200000
0.99,2.484276231,1.372749285,1.754090269,0.016305,0.010105,0.61737978,40,200000
0.99,0.224665284,0.398154971,1.48182855,0.0093,0.013005,0.416946873,40,200000
0.99,5.943943332,5.895322014,2.787323119,0.01599,0.011635,0.578823529,40,200000
0.99,0.381872885,2.675137876,5.107344855,0.015155,0.010815,0.583557951,40,200000
0.99,0.415303076,2.468314923,0.944026344,0.018285,0.01827,0.50020517,40,200000
0.99,1.833652623,0.42512425,5.237857422,0.01041,0.013735,0.431145165,40,200000
0.99,5.261177477,2.162774741,2.152555469,0.016475,0.01635,0.501904037,40,200000
0.99,2.862407786,1.781856342,5.734041262,0.01583,0.01171,0.57480029,40,200000
0.99,2.556004985,0.617286559,4.394876721,0.015455,0.00884,0.636139123,40,200000
0.99,0.362601205,1.788028631,0.244165086,0.011565,0.013585,0.459840954,40,200000
0.99,4.441934212,1.414577096,3.057182418,0.01067,0.010475,0.504611019,40,200000
0.99,5.770134767,2.772484424,2.104889893,0.03172,0.02812,0.530080214,40,200000
0.99,5.516397436,0.227057482,4.69508473,0.01204,0.01104,0.521663778,40,200000
0.99,2.857026949,2.324041532,0.925648368,0.01254,0.013755,0.476896748,40,200000
