R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.454545455,0.42480291,4.217849873,5.171206978,0.26458,0.52561,0.334830863,40,200000
0.454545455,6.121135615,5.350892059,6.014133937,0.248425,0.567685,0.304401367,40,200000
0.454545455,2.05687577,0.162945568,3.533026098,0.2574,0.57095,0.310738215,40,200000
0.454545455,4.766282272,3.955968449,1.029199137,0.26914,0.532345,0.335801668,40,200000
0.454545455,5.937577091,4.542033808,4.502553443,0.26072,0.543145,0.324333066,40,200000
0.454545455,1.23642408,5.83728102,1.34111598,0.24993,0.565585,0.306468918,40,200000
0.454545455,1.232541971,1.657134471,2.627543044,0.272515,0.545545,0.333123487,40,200000
0.454545455,1.595956273,4.048251291,5.262953531,0.23775,0.5523,0.300930321,40,200000
0.454545455,3.253234251,5.95937582,0.005262746,0.243245,0.5705,0.298920423,40,200000
0.454545455,3.667083281,1.239003269,2.462467281,0.262925,0.565015,0.317565283,40,200000
0.454545455,3.860587543,1.737922814,5.843246364,0.260255,0.531985,0.328505251,40,200000
0.454545455,2.790865321,1.675850019,1.934695613,0.27267,0.52272,0.34281296,40,200000
0.454545455,1.117219644,0.389578895,3.916579149,0.27057,0.53397,0.336303975,40,200000
0.454545455,0.299778032,5.255486957,0.450461534,0.254225,0.571815,0.307763547,40,200000
0.454545455,5.701397501,4.049901177,5.193530565,0.246795,0.568745,0.302615445,40,200000
0.454545455,3.801493615,5.434505809,2.70490268,0.24928,0.551125,0.311442332,40,200000
0.454545455,5.430523356,6.07767554,6.069458219,0.24298,0.56912,0.299199606,40,200000
0.454545455,3.108128897,2.17922821,3.54650142,0.255165,0.54319,0.319613455,40,200000
0.454545455,0.456554884,2.798083107,6.113192453,0.23669,0.57076,0.293132702,40,200000
0.454545455,6.254696775,0.14869622,4.471078923,0.257375,0.551585,0.318155409,40,200000
0.454545455,0.08286964,1.94824787,4.15037883,0.23505,0.57662,0.289588133,40,200000
0.454545455,0.732972,1.64111915,4.61133316,0.26055,0.558865,0.317970747,40,200000
0.454545455,5.220872244,2.458736308,0.955703673,0.27767,0.54307,0.338316641,40,200000
0.454545455,0.401917533,2.044391388,0.804244199,0.250185,0.551225,0.312181031,40,200000
0.454545455,4.591392003,5.622583268,4.790902249,0.257915,0.53473,0.325385261,40,200000
0.454545455,4.526199117,1.610365853,3.956587409,0.27184,0.55472,0.328881146,40,200000
0.454545455,6.265671374,1.181953608,1.283849942,0.26924,0.539935,0.332733957,40,200000
0.454545455,3.723896144,1.374713515,4.316574373,0.277355,0.52758,0.344568195,40,200000
0.454545455,3.212407332,5.230245499,2.519328068,0.285565,0.52885,0.350638188,40,200000
0.454545455,6.022012822,5.902132806,3.862200443,0.281035,0.557375,0.335199962,40,200000
0.454545455,4.904044231,3.629759119,2.031707608,0.25228,0.557625,0.311493323,40,200000
0.454545455,1.088251095,4.71132636,0.926695531,0.24518,0.56706,0.301856594,40,200000
0.454545455,1.285770382,2.229700255,3.915812936,0.269165,0.54744,0.329614685,40,200000
0.454545455,5.170604569,0.957234591,3.667243476,0.283915,0.53771,0.34555302,40,200000
0.454545455,4.080501989,4.597067354,5.727660699,0.276175,0.55027,0.334172268,40,200000
0.454545455,3.014697655,1.102066476,5.482940032,0.28079,0.54728,0.33908969,40,200000
0.454545455,4.862616392,3.150831043,2.103652181,0.265725,0.54482,0.327834975,40,200000
0.454545455,0.293545428,0.165152306,1.001671629,0.26607,0.546315,0.327517126,40,200000
0.454545455,3.863881761,1.261360122,4.256244093,0.27352,0.530715,0.340099598,40,200000
0.454545455,1.579703867,2.534921169,3.013667996,0.252265,0.5424,0.317448233,40,200000
