R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
3.75E-33,0.260052391,2.784230101,3.103127722,0.00097,0.99764,0.00097135,20,200000
3.75E-33,0.033923413,3.750144525,1.874297535,0.00072,0.99776,0.000721096,20,200000
3.75E-33,3.96299498,5.993811643,0.855808065,0.000665,0.99788,0.000665969,20,200000
3.75E-33,6.186666314,2.334950719,2.901894311,0.00069,0.997915,0.000690964,20,200000
3.75E-33,5.773678513,4.990965579,1.286452244,0.00053,0.998245,0.00053065,20,200000
3.75E-33,2.561929993,5.463894467,4.894039875,0.000715,0.99782,0.000716049,20,200000
3.75E-33,2.842095993,2.218840101,1.900352061,0.00063,0.99793,0.000630909,20,200000
3.75E-33,4.219362695,0.31432564,0.346441938,0.000815,0.99784,0.000816098,20,200000
3.75E-33,0.065004711,2.195070308,1.358118963,0.00061,0.997935,0.000610889,20,200000
3.75E-33,6.23717994,1.098793505,4.186704373,0.000635,0.99804,0.000635842,20,200000
3.75E-33,2.865572667,5.027846731,1.378931101,0.00063,0.99777,0.00063101,20,200000
3.75E-33,1.64665612,2.737099285,4.836454909,0.00065,0.998105,0.00065081,20,200000
3.75E-33,1.295237739,5.977357695,3.162178136,0.00064,0.99809,0.000640814,20,200000
3.75E-33,2.224074428,0.977646251,5.931796564,0.000575,0.998155,0.000575731,20,200000
3.75E-33,0.077615446,5.61050634,0.291492825,0.00077,0.997885,0.000771037,20,200000
3.75E-33,0.840599844,2.028091616,4.865180479,0.000665,0.99799,0.000665896,20,200000
3.75E-33,3.526086179,5.093821538,1.083722365,0.00066,0.998115,0.000660809,20,200000
3.75E-33,5.252024836,0.993266955,2.211006607,0.00075,0.99784,0.000751059,20,200000
3.75E-33,3.55758208,5.948763901,5.825541983,0.000895,0.997585,0.000896362,30,200000
3.75E-33,2.66956625,6.237615394,3.704166973,0.001005,0.997385,0.001006621,30,200000
3.75E-33,0.426441146,3.683984001,3.479824116,0.001075,0.997325,0.001076723,30,200000
3.75E-33,1.211005615,2.966322087,2.605560486,0.000895,0.997215,0.000896695,30,200000
3.75E-33,6.230361083,3.559785645,1.945236176,0.00096,0.9974,0.000961577,30,200000
3.75E-33,0.242342823,0.620631995,2.438382533,0.00086,0.997325,0.000861564,30,200000
3.75E-33,1.876843588,2.514937065,4.04950481,0.000845,0.9974,0.000846486,30,200000
3.75E-33,2.362018511,1.160136161,0.880289942,0.000925,0.997355,0.000926594,30,200000
3.75E-33,4.596740368,4.828927827,4.859945798,0.000895,0.997385,0.000896542,30,200000
3.75E-33,3.66358344,0.443217887,0.556979231,0.00088,0.99765,0.000881296,30,200000
3.75E-33,2.68448225,3.393786344,0.201786067,0.000845,0.997425,0.000846464,30,200000
3.75E-33,1.555788046,0.855148766,3.530941776,0.000945,0.997455,0.000946514,30,200000
3.75E-33,5.677194885,5.159399085,0.983742848,0.000925,0.997355,0.000926594,30,200000
3.75E-33,0.428172696,2.767185688,1.00841278,0.0008,0.997595,0.000801286,30,200000
3.75E-33,0.101574001,4.101708833,1.00109727,0.000915,0.997485,0.000916466,30,200000
3.75E-33,5.104152084,5.119542149,6.206458829,0.00099,0.99743,0.000991567,30,200000
3.75E-33,0.791241875,1.747775737,3.081403804,0.000905,0.99751,0.000906437,30,200000
3.75E-33,0.744412655,2.431629855,4.5923649,0.00105,0.997105,0.001051941,30,200000
3.75E-33,3.63587083,1.38777159,0.972024211,0.001015,0.99733,0.001016683,30,200000
3.75E-33,5.796487156,0.257498324,2.082714223,0.000995,0.997335,0.000996664,30,200000
3.75E-33,3.009874171,0.547830076,0.782351673,0.001015,0.997345,0.001016667,30,200000
3.75E-33,1.238499824,2.011081908,5.37917609,0.000825,0.997725,0.000826198,30,200000
