phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,P_IFM,P_bomb,eta,N,nsamples
1.20219511,5.168552383,5.93842525,0.533593772,0.329935267,5.886914925,4.622582909,4.754303462,3.494233453,1.851248413,4.284828749,0.000885,0.63353,0.001394986,20,200000
4.279397007,4.383748756,0.504801171,6.023225976,5.663177626,3.126299254,4.067205927,3.329647831,3.984113456,5.061868717,4.584423252,0.00294,0.62946,0.004648956,20,200000
2.659077445,5.677941955,1.136709769,3.772707206,4.526476577,0.551397805,6.055350734,4.06084236,2.775450158,3.097781516,1.497022728,0.01814,0.335905,0.051236425,20,200000
6.087335023,5.914524439,0.293450767,0.642870498,2.985752855,5.616820711,4.662069223,1.758117109,0.086104966,4.864358793,5.217783443,0.00369,0.625225,0.005867248,20,200000
2.328133651,1.383410276,4.281214621,1.903218674,4.980786098,3.348108924,1.497015673,1.929807891,3.437344148,2.253636394,3.9507907,0.00278,0.62395,0.004435722,20,200000
0.728904971,3.294583404,5.801660183,1.026248108,2.851082761,3.678051943,3.380949075,3.15519823,0.266967009,0.571744343,4.687768174,0.002495,0.626935,0.003963904,20,200000
1.782820057,0.689550933,4.220167741,2.34397466,0.93792526,5.761441696,0.732670712,0.125814109,6.230892451,4.201924639,1.677724856,0.000625,0.61332,0.001018006,20,200000
0.369694444,3.714129436,3.226961726,4.82112373,5.061818588,0.714301018,5.948618763,5.306485908,4.930237504,5.856655349,2.545168713,0.001665,0.633095,0.002623039,20,200000
1.889615159,4.918964183,0.098053248,3.347222282,1.319781456,0.684740458,2.966705484,5.30525473,5.481610985,1.131680944,2.208406632,0.003575,0.627065,0.005668844,20,200000
4.928011126,2.018822697,2.857569571,3.943858843,4.175505528,0.741973121,4.36616808,3.114904741,1.528662215,4.662127662,4.27241019,0.000985,0.63903,0.001539026,20,200000
0.664680805,3.590894411,3.125803362,0.258140153,0.339936471,2.90361871,5.544292307,5.389269659,4.459484404,4.77469058,1.926268203,0.003825,0.62784,0.006055425,20,200000
