R,phi0,phi1,phi2,P_IFM,P_bomb,eta,N,nsamples
0.090909091,0.162875822,1.623529601,3.789128876,0.104235,0.884925,0.10537729,50,200000
0.090909091,2.071449095,0.787514284,1.202211483,0.098055,0.886295,0.099613958,50,200000
0.090909091,0.223224834,0.263446905,3.98214509,0.11025,0.882345,0.111072492,50,200000
0.090909091,2.423844487,1.279651936,4.897710878,0.10648,0.87971,0.107971081,50,200000
0.090909091,4.557519528,1.969773992,1.638765857,0.085685,0.90859,0.086178371,50,200000
0.090909091,3.564528964,4.145744134,3.132898584,0.07087,0.9226,0.071335823,50,200000
0.090909091,0.861661042,3.74645144,2.486041012,0.088985,0.9048,0.0895415,50,200000
0.090909091,2.530290934,2.270189173,5.89927485,0.081965,0.90847,0.082756567,50,200000
0.090909091,4.040732742,1.704189359,2.876563029,0.0935,0.89156,0.094918076,50,200000
0.090909091,1.847432935,5.173931464,2.026784243,0.10084,0.890585,0.101712182,50,200000
0.090909091,4.498397623,0.626797546,5.264563031,0.09802,0.892295,0.098978608,50,200000
0.090909091,1.588081842,6.151603556,4.015831363,0.10494,0.8804,0.106501309,50,200000
0.090909091,0.812736101,2.312872179,2.749865279,0.094095,0.897455,0.094896879,50,200000
0.090909091,1.743175876,0.546975273,1.70657934,0.088145,0.90339,0.088897517,50,200000
0.090909091,0.079949932,6.027553005,6.143504414,0.097485,0.88816,0.098904778,50,200000
0.090909091,3.091472535,3.830504344,3.697821324,0.08507,0.907485,0.085708097,50,200000
0.090909091,0.026005695,0.862133172,0.905112445,0.098465,0.89533,0.09907979,50,200000
0.090909091,1.918216258,0.938093229,4.174823505,0.100535,0.891175,0.101375402,50,200000
0.090909091,2.07526072,3.348875578,5.85127821,0.076165,0.914495,0.076883088,50,200000
0.090909091,4.644221814,5.959035527,0.188396469,0.090275,0.900795,0.09108842,50,200000
0.090909091,2.318824666,4.329316153,2.753488363,0.09951,0.8913,0.100432979,50,200000
0.090909091,3.713643448,3.645630041,4.711917315,0.087965,0.899005,0.089126316,50,200000
0.090909091,3.300445409,4.2068031,3.332094531,0.099765,0.891995,0.100593894,50,200000
0.090909091,4.446360428,1.12165661,2.033828049,0.078845,0.91458,0.079366837,50,200000
0.090909091,2.901578373,4.106956225,1.807625652,0.0936,0.8991,0.094288305,50,200000
0.090909091,2.753302512,5.1952053,4.073673192,0.07796,0.91741,0.078322634,50,200000
0.090909091,5.725088908,3.353808177,0.129239855,0.03139,0.028335,0.525575555,50,200000
0.090909091,3.32408492,0.855742822,2.846567516,0.09516,0.897575,0.095856397,50,200000
0.090909091,0.56802602,6.10286684,4.193064359,0.082345,0.90463,0.083431698,50,200000
0.090909091,3.925872278,3.7236228,4.045512337,0.069695,0.91681,0.0706484,50,200000
0.090909091,0.419514514,4.697257442,5.840291915,0.0951,0.893575,0.096189344,50,200000
0.090909091,6.018196961,1.66976883,4.85560056,0.10255,0.88797,0.103531478,50,200000
0.090909091,0.340135508,0.132384433,6.079879283,0.101415,0.89339,0.101944602,50,200000
0.090909091,4.570190348,2.651189333,0.116612978,0.081085,0.90587,0.082156735,50,200000
0.090909091,4.472509386,3.855386881,0.200065698,0.07595,0.914125,0.07671136,50,200000
0.090909091,0.25475805,3.661635344,4.72848033,0.08568,0.90558,0.086435446,50,200000
0.090909091,5.305113412,1.827175833,3.261020473,0.09763,0.88699,0.099155004,50,200000
0.090909091,6.177173407,3.829543839,2.211370127,0.078355,0.90909,0.079351255,50,200000
0.090909091,3.359226569,1.424466908,4.168138219,0.08812,0.905945,0.088646115,50,200000
0.090909091,0.355626966,3.220813682,2.797384474,0.09679,0.88916,0.098169278,50,200000
